,Age,TotalAll,TotalViolent,TotalProperty,MurderManslaughter,Rape,Robbery,AggravatedAssault,Burglary,Larceny,CarTheft,Arson,Assault,ForgeryCounterfeit,Fraud,Embezzlement,StolenProperty,Vandalism,Weapons,CommercialSex,Sex,DrugAbuse,Gambling,FamilyChildren,DUI,LiquorLaws,Drunkenness,DisorderlyConduct,Vagrancy,AllOther,Suspicion,CurfewLoitering,NumberAgencies,Population,State,Year
70,Under 18,22552,732,4174,12,88,307,325,696,3241,172,65,4295,30,134,0,521,1034,318,10,157,1811,1.0,184,84,672,28,1811,4,6010,5.0,537,461.0,8954617.0,OHIO,2016
71,Total all ages,213801,6683,33524,189,481,1847,4166,3851,28735,681,257,28812,1002,2086,21,3202,3599,3211,1308,558,32324,41.0,1622,15060,5973,1886,14608,99,57640,5.0,537,,,OHIO,2016
72,Under 18,9236,449,2272,17,30,118,284,356,1772,102,42,964,3,38,20,287,277,166,0,48,1328,4.0,32,107,105,293,505,2,1267,0.0,1069,336.0,3744169.0,OKLAHOMA,2016
73,Total all ages,112401,4653,15856,183,207,649,3614,2056,12965,623,212,8195,673,1621,376,2737,1229,2183,5,408,22107,35.0,609,12200,1433,13507,1996,34,21466,9.0,1069,,,OKLAHOMA,2016
74,Under 18,10407,307,2198,3,25,72,207,234,1804,111,49,1093,9,54,1,27,1040,106,0,67,1854,0.0,6,108,916,0,509,0,1600,0.0,512,185.0,3707053.0,OREGON,2016
75,Total all ages,131085,3715,19456,66,146,767,2736,1618,16190,1439,209,10241,558,1752,44,558,4012,1660,284,519,13639,0.0,335,14282,4844,0,6555,4,48115,0.0,512,,,OREGON,2016
76,Under 18,40826,2678,5563,22,202,1045,1409,868,4120,450,125,4811,55,653,29,342,1501,789,6,493,3177,2.0,31,365,2134,170,7352,26,3371,0.0,7278,1183.0,11822238.0,PENNSYLVANIA,2016
77,Total all ages,350797,18416,50837,377,1003,4820,12216,6158,41938,2340,401,39904,2253,7954,485,2268,6858,4660,1792,2125,53633,105.0,1581,44111,9179,19475,33487,254,44142,0.0,7278,,,PENNSYLVANIA,2016
78,Under 18,2489,109,494,0,17,38,54,92,365,20,17,411,2,17,3,71,189,135,0,16,80,0.0,30,11,48,1,452,0,408,0.0,12,48.0,1056426.0,RHODE ISLAND,2016
79,Total all ages,27494,896,2881,18,85,143,650,592,2126,127,36,4002,111,586,87,342,1035,465,80,91,1759,18.0,68,2719,486,10,2239,0,9607,0.0,12,,,RHODE ISLAND,2016
80,Under 18,12987,682,3308,35,63,258,326,614,2527,145,22,2116,11,74,9,162,456,434,7,63,2080,3.0,8,90,286,71,1447,0,1649,0.0,31,434.0,4794988.0,SOUTH CAROLINA,2016
81,Total all ages,158298,6929,24138,293,411,1200,5025,3385,19664,968,121,16445,1130,3452,325,1996,2794,2251,578,319,30020,51.0,1237,15947,5014,6956,8738,425,29522,0.0,31,,,SOUTH CAROLINA,2016
82,Under 18,5016,106,1000,0,3,11,92,103,770,122,5,492,2,44,8,35,135,49,1,13,847,0.0,388,77,569,14,330,0,786,0.0,120,107.0,789651.0,SOUTH DAKOTA,2016
83,Total all ages,47214,1291,3554,23,44,57,1167,352,2897,289,16,4447,96,664,38,177,466,255,26,53,7912,0.0,766,7196,2596,2538,2454,436,12126,3.0,120,,,SOUTH DAKOTA,2016
84,Under 18,22110,1401,4060,21,42,364,974,815,2766,421,58,4106,45,142,4,117,1036,391,0,116,2501,39.0,55,143,586,141,1912,0,4080,0.0,1235,455.0,6454266.0,TENNESSEE,2016
85,Total all ages,339280,16142,37897,301,291,1936,13614,5322,29785,2606,184,29825,1876,5797,707,1038,4563,2741,1161,568,44185,170.0,4036,22563,4278,14029,7079,25,139365,0.0,1235,,,TENNESSEE,2016
86,Under 18,65539,3938,14953,62,375,1422,2079,2590,11155,1101,107,12047,135,275,153,181,1779,843,53,431,10612,15.0,95,421,1596,1104,1836,61,12532,0.0,2479,973.0,27089093.0,TEXAS,2016
87,Total all ages,820979,31989,95012,889,2311,7056,21733,12201,76604,5795,412,94190,4659,6515,918,1057,8120,12375,4506,3005,140314,490.0,4264,67950,10928,71819,10520,2194,247675,0.0,2479,,,TEXAS,2016
88,Under 18,13187,268,2740,2,75,51,140,165,2463,82,30,1305,7,30,0,94,694,205,16,214,1786,0.0,36,196,675,80,807,27,3538,2.0,467,109.0,2801231.0,UTAH,2016
89,Total all ages,102988,2252,16044,50,258,413,1531,935,14617,421,71,8780,680,886,21,1053,2631,844,191,600,15111,4.0,1297,8713,3860,2909,2809,40,33791,5.0,467,,,UTAH,2016
90,Under 18,425,13,60,0,4,0,9,13,40,6,1,96,0,2,2,4,37,7,0,10,23,0.0,8,8,23,1,67,0,64,0.0,0,46.0,348314.0,VERMONT,2016
91,Total all ages,8062,314,1049,4,28,23,259,154,871,18,6,812,20,122,55,59,197,14,4,29,593,0.0,118,1474,60,1,509,0,2632,0.0,0,,,VERMONT,2016
92,Under 18,16838,735,3907,20,69,385,261,504,3162,211,30,2735,36,129,37,177,753,328,3,122,2068,0.0,55,97,620,112,490,0,3667,0.0,767,404.0,8266632.0,VIRGINIA,2016
93,Total all ages,271921,7410,30793,351,480,1755,4824,2928,26706,1013,146,32469,1905,5240,1405,917,4021,3562,913,692,39132,20.0,1780,20084,5223,20125,2965,157,92341,0.0,767,,,VIRGINIA,2016
94,Under 18,12184,782,3151,15,79,295,393,442,2432,247,30,2642,10,28,1,210,756,237,9,133,1360,0.0,9,121,776,3,178,0,1775,0.0,3,223.0,6483494.0,WASHINGTON,2016
95,Total all ages,171211,7778,30229,107,491,1665,5515,4847,23705,1518,159,24266,881,994,60,3354,4973,1711,553,637,11017,0.0,280,23209,2487,22,2415,81,56261,0.0,3,,,WASHINGTON,2016
96,Under 18,1050,48,152,2,5,6,35,24,110,13,5,249,1,3,1,5,40,24,0,12,110,0.0,2,11,52,3,27,0,303,0.0,7,291.0,1251283.0,WEST VIRGINIA,2016
97,Total all ages,39742,1905,5826,41,101,157,1606,771,4777,238,40,4684,332,511,105,283,612,448,73,104,6267,2.0,139,4427,591,673,608,31,12114,0.0,7,,,WEST VIRGINIA,2016
98,Under 18,41813,1111,6135,7,149,434,521,655,4900,532,48,2570,22,116,31,605,1873,598,14,674,3154,8.0,105,235,2266,0,7876,61,12221,0.0,2138,409.0,5643675.0,WISCONSIN,2016
99,Total all ages,261400,7556,31446,244,781,1570,4961,2771,27253,1293,129,15905,1047,2659,289,1566,6463,3661,437,1963,28025,44.0,2255,24795,12675,0,33316,825,84335,0.0,2138,,,WISCONSIN,2016
100,Under 18,3332,22,558,0,2,3,17,46,476,27,9,419,2,7,2,2,154,38,3,13,543,1.0,10,26,461,12,124,12,764,3.0,156,53.0,549770.0,WYOMING,2016
101,Total all ages,28213,500,2577,13,33,19,435,232,2188,109,48,2068,49,196,12,42,526,85,56,109,4482,1.0,360,3056,1929,2219,825,30,8928,7.0,156,,,WYOMING,2016
0,Under 18,4707,365,1264,18,34,116,197,323,860,71,10,782,13,29,1,134,86,103,0,26,196,0.0,29,42,212,34,338,0,1053,0.0,0,223.0,3737635.0,ALABAMA,2017
1,Total all ages,153285,6005,18366,317,344,1140,4204,3223,14030,994,119,16455,1189,3258,161,2484,1413,1963,2,550,11267,0.0,822,7194,2064,6165,2018,56,71853,0.0,0,,,ALABAMA,2017
2,Under 18,1570,164,459,1,26,20,117,117,258,78,6,320,2,5,7,5,98,21,1,9,180,0.0,0,23,80,10,14,0,172,0.0,0,32.0,736205.0,ALASKA,2017
3,Total all ages,29152,2374,3695,46,126,289,1913,623,2356,694,22,4478,113,219,77,105,1004,369,5,256,1004,0.0,159,3102,653,43,757,2,10737,0.0,0,,,ALASKA,2017
4,Under 18,22613,1228,4528,30,52,450,696,761,3364,347,56,3677,22,74,6,156,1754,258,4,218,3096,1.0,182,198,1461,78,1424,57,3062,3.0,1126,91.0,6400872.0,ARIZONA,2017
5,Total all ages,277698,12832,34919,261,339,2085,10147,3974,29142,1590,213,26801,1201,2076,457,1410,10287,3090,303,1289,33230,12.0,2680,24195,8935,15574,15505,616,81016,144.0,1126,,,ARIZONA,2017
6,Under 18,7878,459,1562,15,46,101,297,386,1083,88,5,1443,15,29,5,144,287,126,0,18,876,0.0,6,32,205,85,609,0,1667,0.0,310,264.0,2760388.0,ARKANSAS,2017
7,Total all ages,123971,4715,12355,138,238,563,3776,2026,9686,603,40,11347,830,893,54,1766,1510,1106,172,92,17515,13.0,293,5988,1475,6247,2469,315,54506,0.0,310,,,ARKANSAS,2017
8,Under 18,51603,7152,10712,98,295,2952,3807,4067,4616,1774,255,8483,45,175,23,1167,2656,3081,18,1139,3781,11.0,2,455,1107,695,1193,103,8607,0.0,998,676.0,39386220.0,CALIFORNIA,2017
9,Total all ages,1093363,109117,105757,1499,2561,16942,88115,38094,46602,19501,1560,80248,4440,6903,990,17398,16883,28547,7056,9244,212025,287.0,227,122961,7079,63278,3530,6773,289622,0.0,998,,,CALIFORNIA,2017
10,Under 18,21183,773,3921,18,58,230,467,339,3135,377,70,1924,10,87,17,21,878,325,0,133,2615,2.0,34,239,1282,11,1729,0,6130,0.0,1052,198.0,5083702.0,COLORADO,2017
11,Total all ages,234409,7721,27157,176,442,1203,5900,2389,21737,2766,265,17009,734,2400,126,496,5508,2309,521,471,16626,19.0,3235,23664,8143,485,7284,596,108846,7.0,1052,,,COLORADO,2017
12,Under 18,8133,436,1858,6,22,197,211,287,1222,324,25,1961,11,30,4,125,451,181,2,46,585,0.0,25,28,27,0,1406,1,953,0.0,3,105.0,3538025.0,CONNECTICUT,2017
13,Total all ages,100211,3844,14074,85,190,1082,2487,1998,11076,926,74,18621,649,912,144,693,2188,1242,183,368,9174,7.0,1500,8228,159,5,10579,24,27614,0.0,3,,,CONNECTICUT,2017
14,Under 18,3360,284,661,1,18,84,181,146,462,35,18,911,0,60,4,73,154,82,0,37,335,1.0,0,0,71,3,287,0,364,0.0,33,62.0,961939.0,DELAWARE,2017
15,Total all ages,31549,1989,6156,42,69,476,1402,950,5038,136,32,6225,283,1837,221,401,749,338,81,122,4015,20.0,176,347,635,377,1339,226,5979,0.0,33,,,DELAWARE,2017
16,Under 18,594,80,39,0,0,60,20,0,39,0,0,79,1,2,0,9,12,15,0,0,17,0.0,0,0,2,0,32,0,306,0.0,0,2.0,0.0,WASHINGTON DC,2017
17,Total all ages,17986,133,101,0,0,84,49,1,95,5,0,333,2,8,0,21,54,47,0,13,237,0.0,4,22,1174,72,284,10,15471,0.0,0,,,WASHINGTON DC,2017
18,Under 18,55359,3829,15812,43,263,1545,1978,4066,9081,2617,48,8456,46,423,20,184,1178,864,11,250,5497,0.0,0,96,529,0,1,0,18158,0.0,5,605.0,20971216.0,FLORIDA,2017
19,Total all ages,713085,36251,91063,635,1873,6398,27345,16483,66033,8306,241,78943,2040,11613,1057,1841,6371,6306,2468,3001,124487,71.0,4,32727,11739,37,33,0,303028,0.0,5,,,FLORIDA,2017
20,Under 18,19766,1206,5177,46,42,396,722,996,3697,457,27,2712,48,110,9,373,567,412,4,313,2127,6.0,129,99,260,30,1637,129,4080,7.0,331,389.0,8205589.0,GEORGIA,2017
21,Total all ages,230640,10843,31080,380,284,1697,8482,4035,25397,1499,149,20268,2241,3028,292,2881,3633,3317,379,2434,40608,58.0,2805,17436,3458,1457,13334,1285,69459,13.0,331,,,GEORGIA,2017
22,Under 18,3084,135,597,2,15,56,62,60,494,36,7,440,3,2,1,48,75,13,0,32,436,0.0,0,29,76,0,87,0,893,0.0,217,4.0,1427538.0,HAWAII,2017
23,Total all ages,35618,1227,3748,36,114,270,807,436,2865,424,23,3837,76,147,11,414,426,247,120,155,2724,156.0,13,5968,467,0,919,0,14744,2.0,217,,,HAWAII,2017
24,Under 18,6260,184,1246,0,49,19,116,172,974,80,20,744,3,31,3,18,236,95,0,67,969,0.0,13,48,198,31,254,2,1979,2.0,137,82.0,1534173.0,IDAHO,2017
25,Total all ages,51686,1441,5192,10,120,70,1241,790,4138,220,44,4513,127,299,43,170,756,276,13,188,8432,0.0,636,5458,1010,566,1582,15,20826,6.0,137,,,IDAHO,2017
26,Under 18,8587,842,2593,28,18,603,193,195,1084,1301,13,1411,1,8,0,25,288,693,0,16,845,60.0,5,1,22,0,669,0,1057,0.0,51,2.0,2852941.0,ILLINOIS,2017
27,Total all ages,64552,3823,11653,272,259,1464,1828,882,7599,3113,59,13083,108,224,1,71,2076,4290,141,235,10915,457.0,277,2357,131,0,2988,18,11653,0.0,51,,,ILLINOIS,2017
28,Under 18,11369,842,2724,17,48,218,559,301,2104,294,25,1731,15,63,7,35,349,207,4,123,1391,0.0,209,60,653,39,597,29,2077,4.0,210,201.0,4267407.0,INDIANA,2017
29,Total all ages,147199,8345,17546,182,208,1386,6569,2016,13829,1629,72,11260,1234,1885,266,343,1200,2283,305,673,26364,14.0,1059,13263,3792,3820,3453,347,49499,38.0,210,,,INDIANA,2017
30,Under 18,10088,445,2607,3,41,94,307,407,1918,248,34,1518,27,49,12,34,652,131,1,47,902,0.0,3,83,661,75,991,0,1598,0.0,252,190.0,2686879.0,IOWA,2017
31,Total all ages,94485,4709,12280,53,192,341,4123,1594,10029,565,92,7296,664,743,79,212,1995,900,46,125,9645,7.0,1059,10082,3733,5793,3574,17,31274,0.0,252,,,IOWA,2017
32,Under 18,3948,185,683,3,17,27,138,102,490,71,20,742,4,22,8,48,243,54,0,43,701,0.0,6,61,353,1,156,0,638,0.0,0,225.0,1900556.0,KANSAS,2017
33,Total all ages,61144,2198,4958,62,112,204,1820,608,3887,412,51,8456,263,580,111,584,1697,742,127,167,9594,0.0,228,5443,2353,138,1613,0,21892,0.0,0,,,KANSAS,2017
34,Under 18,5273,393,1414,26,24,212,131,326,911,171,6,1029,13,16,8,347,164,94,0,39,533,0.0,5,41,8,44,177,0,946,0.0,2,330.0,4329947.0,KENTUCKY,2017
35,Total all ages,219872,3398,17117,185,212,987,2014,2891,13271,894,61,12015,1102,1370,390,2992,1167,967,166,292,26397,3.0,5216,15143,72,13722,3949,70,114322,0.0,2,,,KENTUCKY,2017
36,Under 18,17571,1149,4603,36,95,265,753,1173,2914,475,41,3124,12,33,9,258,589,398,8,168,1361,0.0,114,26,191,30,2307,32,2909,4.0,246,170.0,3747239.0,LOUISIANA,2017
37,Total all ages,166867,9494,29489,359,391,1195,7549,5260,22413,1692,124,18935,762,1519,146,2100,2785,3234,412,841,25770,41.0,1856,6117,2869,2965,7332,243,49696,15.0,246,,,LOUISIANA,2017
38,Under 18,3046,57,779,0,14,12,31,131,596,28,24,505,3,11,2,10,225,6,0,35,350,0.0,6,39,386,4,83,0,528,0.0,17,135.0,1335907.0,MAINE,2017
39,Total all ages,40675,780,5578,14,70,128,568,607,4683,225,63,4889,199,518,41,93,1067,130,119,182,3409,3.0,122,5835,2181,20,1257,0,14227,8.0,17,,,MAINE,2017
40,Under 18,17653,2056,4510,14,60,1131,851,937,2839,639,95,3922,15,51,4,6,845,598,8,147,1948,41.0,9,45,233,2,821,5,2299,23.0,65,139.0,5488907.0,MARYLAND,2017
41,Total all ages,165877,9692,21726,286,352,3299,5755,4323,15337,1756,310,18261,423,893,77,73,2332,3215,748,578,28992,117.0,860,14385,3755,29,4202,82,55260,112.0,65,,,MARYLAND,2017
42,Under 18,6732,793,1179,6,23,176,588,280,780,90,29,1562,16,17,3,134,345,169,1,52,215,1.0,45,29,231,24,447,0,1467,0.0,2,321.0,6522173.0,MASSACHUSETTS,2017
43,Total all ages,118676,9257,13671,62,296,1211,7688,2141,10837,608,85,19372,455,1271,122,1202,2534,1328,530,425,9791,6.0,1406,8665,1565,5187,4359,8,37518,2.0,2,,,MASSACHUSETTS,2017
44,Under 18,16474,1094,4206,16,133,282,663,634,3167,361,44,2620,30,220,25,243,535,289,2,133,2126,3.0,1,200,1137,5,534,0,2752,0.0,319,614.0,9789634.0,MICHIGAN,2017
45,Total all ages,244417,11798,24692,261,750,1306,9481,3190,19983,1280,239,27788,650,3931,1174,1806,2815,4590,233,626,33090,42.0,2766,26558,8729,349,5989,139,86333,0.0,319,,,MICHIGAN,2017
46,Under 18,20871,969,4981,12,122,384,451,475,4071,399,36,2403,32,196,1,329,931,433,2,178,1893,0.0,14,176,1816,0,2053,0,3595,0.0,869,374.0,5379142.0,MINNESOTA,2017
47,Total all ages,143702,5769,26025,120,632,1176,3841,2298,22105,1521,101,14363,1465,2664,23,1995,3056,2208,359,1055,19281,16.0,569,19171,7535,2,8665,42,28570,0.0,869,,,MINNESOTA,2017
48,Under 18,3485,138,836,5,7,75,51,180,600,50,6,449,2,9,4,76,70,84,0,16,285,1.0,254,55,33,22,363,12,684,2.0,90,64.0,1385928.0,MISSISSIPPI,2017
49,Total all ages,78239,1492,8677,109,58,403,922,1249,7034,350,44,6393,333,854,383,815,678,1110,25,198,10268,67.0,2298,7642,971,3888,4070,105,27846,36.0,90,,,MISSISSIPPI,2017
50,Under 18,17518,906,3790,25,125,265,491,550,2955,251,34,2885,16,73,16,256,847,277,6,265,2266,1.0,88,147,707,12,1176,4,3136,0.0,644,361.0,5626134.0,MISSOURI,2017
51,Total all ages,228042,9371,31387,342,551,1553,6925,3815,24973,2473,126,21141,1239,1950,290,2876,3868,3537,368,1242,39979,96.0,2548,18386,4061,306,7059,1096,76597,1.0,644,,,MISSOURI,2017
52,Under 18,4313,113,881,0,11,15,87,48,778,46,9,612,3,5,0,6,246,17,0,23,385,0.0,40,44,575,0,398,0,659,0.0,306,100.0,1037591.0,MONTANA,2017
53,Total all ages,30824,1262,4965,19,47,91,1105,275,4401,252,37,4390,106,254,30,98,931,85,9,102,2872,0.0,253,4344,2023,0,2475,10,6309,0.0,306,,,MONTANA,2017
54,Under 18,599,27,83,0,2,0,25,10,58,15,0,87,0,1,0,2,34,4,0,3,87,0.0,1,19,90,12,38,0,95,0.0,16,54.0,233437.0,NEBRASKA,2017
55,Total all ages,5708,161,523,1,12,5,143,53,424,44,2,617,18,67,3,35,95,65,1,28,843,0.0,76,785,416,178,282,0,1499,0.0,16,,,NEBRASKA,2017
56,Under 18,7672,924,1159,4,54,319,547,337,700,108,14,1720,40,31,2,166,217,171,44,47,741,0.0,6,50,372,4,194,64,1304,4.0,412,51.0,2680733.0,NEVADA,2017
57,Total all ages,112004,6506,8946,157,321,1388,4640,2572,5658,671,45,15438,488,1404,201,1681,1365,1885,2532,695,8923,9.0,702,9470,1950,241,1353,1648,45968,187.0,412,,,NEVADA,2017
58,Under 18,3529,67,373,1,0,17,49,39,300,23,11,557,5,19,6,33,194,5,0,24,507,0.0,10,36,371,313,133,0,865,0.0,11,176.0,1292643.0,NEW HAMPSHIRE,2017
59,Total all ages,47516,896,3642,8,52,168,668,319,3143,152,28,5306,292,787,120,503,1247,139,79,99,7656,12.0,202,4805,2489,4210,1001,82,13938,0.0,11,,,NEW HAMPSHIRE,2017
60,Under 18,15950,1123,2709,6,62,510,545,478,2093,89,49,1312,39,48,12,456,658,566,9,157,3535,30.0,27,76,682,0,1281,25,2613,0.0,592,490.0,8521517.0,NEW JERSEY,2017
61,Total all ages,281631,8577,24807,149,333,2472,5623,3910,20274,494,129,20175,1020,3478,269,2511,3297,3838,900,916,61989,158.0,8915,21574,2876,0,11629,299,103811,0.0,592,,,NEW JERSEY,2017
62,Under 18,1303,172,220,0,3,21,148,46,154,19,1,249,2,3,1,51,35,14,1,2,99,0.0,11,25,31,28,41,0,318,0.0,0,23.0,823584.0,NEW MEXICO,2017
63,Total all ages,40552,2708,4340,25,43,344,2296,613,3546,170,11,6223,138,230,74,1165,684,179,35,31,2377,0.0,680,3283,473,1578,973,64,15300,17.0,0,,,NEW MEXICO,2017
64,Under 18,18426,1508,4873,22,180,623,683,877,3542,358,96,2413,82,179,3,417,1880,330,6,322,3344,14.0,24,82,198,0,504,9,2238,0.0,0,510.0,10121830.0,NEW YORK,2017
65,Total all ages,259257,12440,43759,264,970,3090,8116,5200,36562,1713,284,27397,2616,4086,48,3183,13559,3468,672,1662,69904,102.0,550,27136,1450,0,4867,618,41740,0.0,0,,,NEW YORK,2017
66,Under 18,15757,947,4335,31,18,465,433,1271,2822,214,28,2896,37,174,20,392,629,546,6,90,1519,2.0,18,190,278,0,1173,0,2487,0.0,18,213.0,6457952.0,NORTH CAROLINA,2017
67,Total all ages,240365,11630,34918,464,229,2571,8366,7836,25826,1066,190,31024,1326,6720,1185,3356,3958,5147,374,806,25902,61.0,4294,30277,1926,0,5425,5,72013,0.0,18,,,NORTH CAROLINA,2017
68,Under 18,4581,69,653,0,12,8,49,59,528,61,5,439,5,16,7,26,145,29,2,42,476,0.0,171,37,554,4,706,0,1093,0.0,107,106.0,749938.0,NORTH DAKOTA,2017
69,Total all ages,39944,855,3787,6,61,69,719,352,3128,291,16,2943,156,421,53,311,479,313,38,120,5646,1.0,654,6318,3086,384,2492,7,11772,1.0,107,,,NORTH DAKOTA,2017
70,Under 18,22865,870,4203,16,78,348,428,728,3180,222,73,4341,33,139,2,454,960,327,4,137,1973,2.0,212,64,617,27,1745,0,6212,1.0,542,453.0,9362266.0,OHIO,2017
71,Total all ages,224423,8084,33068,224,406,1987,5467,4115,27904,764,285,31736,918,2179,21,2800,3454,3681,1122,516,37022,4.0,1714,15032,5196,4327,12296,208,60497,6.0,542,,,OHIO,2017
72,Under 18,8750,479,2064,16,26,138,299,398,1532,106,28,920,11,35,25,301,289,145,0,42,1280,3.0,20,72,111,211,538,0,1342,0.0,862,389.0,3789847.0,OKLAHOMA,2017
73,Total all ages,106731,4820,14352,161,179,719,3761,2267,11226,713,146,8226,607,1489,408,2843,1270,2207,15,458,20024,51.0,539,9599,1394,12799,2096,58,22612,2.0,862,,,OKLAHOMA,2017
74,Under 18,8955,349,1833,8,24,106,211,151,1486,141,55,1045,12,44,2,25,678,107,2,68,1796,0.0,0,97,777,0,592,0,1089,0.0,439,143.0,3745046.0,OREGON,2017
75,Total all ages,124851,3687,17578,65,166,696,2760,1376,14118,1883,201,10263,648,1868,49,587,3976,2077,364,436,15682,0.0,333,13273,3658,18,6594,22,43299,0.0,439,,,OREGON,2017
76,Under 18,43800,3049,5821,19,238,1071,1721,952,4355,426,88,5184,64,799,20,336,1779,848,3,495,3524,0.0,51,349,2426,191,8290,38,3810,0.0,6723,1383.0,12552431.0,PENNSYLVANIA,2017
77,Total all ages,372570,20385,50437,464,1171,4891,13859,6123,41549,2409,356,42271,2414,7703,478,2392,7196,5056,1755,2211,63306,53.0,2034,45128,9446,20941,35630,298,46713,0.0,6723,,,PENNSYLVANIA,2017
78,Under 18,2218,109,373,1,16,38,54,87,251,20,15,406,3,16,3,37,188,105,0,20,111,0.0,27,5,68,0,422,0,314,0.0,11,41.0,943094.0,RHODE ISLAND,2017
79,Total all ages,22707,864,2458,10,77,150,627,533,1773,126,26,3638,74,425,102,287,932,379,71,76,1792,9.0,62,1788,394,0,1979,1,7365,0.0,11,,,RHODE ISLAND,2017
80,Under 18,12279,616,2881,17,69,214,316,537,2184,143,17,2162,13,68,17,143,451,435,5,56,2090,0.0,8,93,297,69,1318,0,1525,0.0,32,346.0,3920047.0,SOUTH CAROLINA,2017
81,Total all ages,153573,6500,23848,253,378,1133,4736,3149,19592,1006,101,14146,1138,3200,358,1952,2552,2247,381,295,32266,39.0,1139,15446,4239,6113,8330,484,28868,0.0,32,,,SOUTH CAROLINA,2017
82,Under 18,6656,131,809,1,8,13,109,108,591,106,4,544,5,53,2,49,211,74,0,28,979,0.0,653,88,804,220,576,1,1247,11.0,171,75.0,729800.0,SOUTH DAKOTA,2017
83,Total all ages,63625,1748,3283,16,79,88,1565,445,2512,311,15,4931,102,731,37,225,624,334,33,92,8900,1.0,2361,8164,4999,6939,3596,565,15720,69.0,171,,,SOUTH DAKOTA,2017
84,Under 18,22282,1459,4399,30,49,422,958,754,3020,573,52,4118,45,131,16,133,1017,408,0,133,2591,12.0,47,109,532,129,1793,0,3996,0.0,1214,449.0,6505139.0,TENNESSEE,2017
85,Total all ages,350912,14682,38394,358,351,1839,12134,5143,29649,3422,180,32076,1802,5336,664,1496,4571,3081,955,621,47826,148.0,4289,19495,3836,15073,6749,5,148599,0.0,1214,,,TENNESSEE,2017
86,Under 18,57417,3723,12398,63,355,1477,1828,2156,9144,995,103,10027,107,222,109,192,1558,858,40,459,9997,17.0,190,419,1187,783,1284,30,11516,0.0,2301,909.0,25980682.0,TEXAS,2017
87,Total all ages,745719,30372,78504,839,2247,6519,20767,10570,62387,5093,454,90763,4287,5764,794,899,7178,12954,4482,2804,136796,355.0,4005,64784,8775,62434,8477,872,218119,0.0,2301,,,TEXAS,2017
88,Under 18,11259,304,2390,1,64,68,171,149,2086,125,30,1110,10,43,4,106,652,135,10,217,1696,0.0,28,143,708,66,421,18,2842,0.0,356,114.0,2646000.0,UTAH,2017
89,Total all ages,104741,2252,14526,48,204,404,1596,882,13064,519,61,7870,746,957,32,1225,2364,896,379,656,17556,4.0,1426,7980,3570,2672,2201,38,37023,12.0,356,,,UTAH,2017
90,Under 18,800,51,137,0,14,1,36,33,94,6,4,145,2,4,1,6,92,10,0,7,49,0.0,4,18,49,0,100,0,125,0.0,0,72.0,600391.0,VERMONT,2017
91,Total all ages,13969,664,1683,10,62,31,561,268,1370,29,16,1341,56,238,43,103,380,28,4,41,1137,0.0,174,2450,112,0,823,0,4692,0.0,0,,,VERMONT,2017
92,Under 18,16417,709,3553,24,59,321,305,463,2862,175,53,2648,32,133,32,153,691,318,5,137,2217,1.0,23,70,574,75,501,0,3804,0.0,741,373.0,7782044.0,VIRGINIA,2017
93,Total all ages,258878,7068,26582,337,430,1633,4668,2698,22662,1032,190,30360,1700,4845,1371,994,3621,4099,617,653,42060,25.0,1664,19323,4852,17864,2870,177,87392,0.0,741,,,VIRGINIA,2017
94,Under 18,11818,890,2692,17,77,334,462,480,1986,180,46,2939,12,28,1,193,856,225,7,123,1224,0.0,9,167,683,10,190,0,1569,0.0,0,222.0,6678694.0,WASHINGTON,2017
95,Total all ages,173344,8472,27055,158,515,1887,5912,4723,20526,1637,169,25114,862,1056,53,3438,5178,1793,650,587,12027,0.0,359,25392,2018,78,2402,124,56680,6.0,0,,,WASHINGTON,2017
96,Under 18,1033,57,162,0,9,6,42,34,104,13,11,215,3,3,3,8,44,14,0,5,120,0.0,1,16,24,2,30,0,317,0.0,9,178.0,1150294.0,WEST VIRGINIA,2017
97,Total all ages,39296,1832,5077,31,103,123,1575,751,4018,272,36,4320,258,486,116,410,634,342,109,88,7277,0.0,149,4282,890,822,751,27,11417,0.0,9,,,WEST VIRGINIA,2017
98,Under 18,39393,1067,6140,14,212,319,522,652,4875,555,58,2633,31,115,27,469,1836,517,13,695,3213,4.0,129,239,2271,0,7282,24,10921,0.0,1767,427.0,5700831.0,WISCONSIN,2017
99,Total all ages,252142,8023,29429,203,900,1447,5473,2652,25214,1368,195,17314,920,2669,325,1474,6206,3449,451,1928,30781,37.0,2493,23541,12228,0,32743,809,75555,0.0,1767,,,WISCONSIN,2017
100,Under 18,3046,35,449,0,6,3,26,26,379,34,10,417,1,3,5,15,150,31,0,11,501,0.0,6,28,416,16,106,0,761,5.0,90,53.0,543983.0,WYOMING,2017
101,Total all ages,27914,612,2374,9,43,31,529,215,1990,130,39,1996,49,158,18,94,492,78,48,107,4612,0.0,344,3253,1980,2412,810,36,8345,6.0,90,,,WYOMING,2017
0,Under 18,3578.0,296.0,959.0,13.0,22.0,111.0,150.0,212.0,627.0,112.0,8.0,608.0,2.0,19.0,0.0,92.0,82.0,88.0,0.0,9.0,130.0,0.0,11.0,26.0,131.0,24.0,250.0,0.0,851.0,0.0,0.0,171.0,3070799.0,ALABAMA,2018
